a1:0.9539760984814448 a2:0.9979512984095606 a3:0.9999101446670859 abs_rel:0.062018927186727524 rmse:3.6350669860839844 log_10:0.028216417878866196 rmse_log:0.10105328261852264 sq_rel:0.273273766040802 silog:9.781387051904735 weight_abs_rel:0.004754719790071249
a1:0.9518331105594806 a2:0.9967061294634333 a3:0.9992202915154987 abs_rel:0.06350994855165482 rmse:3.0630710124969482 log_10:0.027045710012316704 rmse_log:0.09925207495689392 sq_rel:0.2568676471710205 silog:9.619706618875053 weight_abs_rel:0.004615817219018936
a1:0.9637643992847142 a2:0.9952037039604098 a3:0.9989742025811281 abs_rel:0.0655953586101532 rmse:3.067819118499756 log_10:0.02756504900753498 rmse_log:0.09985677152872086 sq_rel:0.2451721578836441 silog:9.31554907210259 weight_abs_rel:0.0049469307996332645
a1:0.9688947050533522 a2:0.9931548218240387 a3:0.9976645862693779 abs_rel:0.07440932095050812 rmse:3.06339168548584 log_10:0.030260901898145676 rmse_log:0.10761822015047073 sq_rel:0.32826629281044006 silog:9.703691949584732 weight_abs_rel:0.005745003931224346
a1:0.9310193584401603 a2:0.9939392731115054 a3:0.9982854522618074 abs_rel:0.07829354703426361 rmse:3.7042744159698486 log_10:0.03253841772675514 rmse_log:0.11283304542303085 sq_rel:0.35707998275756836 silog:10.811114758716453 weight_abs_rel:0.0063565452583134174
a1:0.8955396591626341 a2:0.9765411319166842 a3:0.999035696752928 abs_rel:0.08397289365530014 rmse:4.462535858154297 log_10:0.0358949676156044 rmse_log:0.1408691704273224 sq_rel:0.5558061599731445 silog:14.049705440204752 weight_abs_rel:0.005784200504422188
a1:0.9502671868340818 a2:0.9943939940333738 a3:0.9973281316591811 abs_rel:0.07378198951482773 rmse:3.070531129837036 log_10:0.030979232862591743 rmse_log:0.11399099975824356 sq_rel:0.3396035432815552 silog:11.367321836125026 weight_abs_rel:0.005940723232924938
a1:0.965748127195987 a2:0.9995801383333701 a3:1.0 abs_rel:0.06778942048549652 rmse:2.7842938899993896 log_10:0.029008837416768074 rmse_log:0.09239795058965683 sq_rel:0.24881914258003235 silog:9.22877459889206 weight_abs_rel:0.0037020849995315075
a1:0.9629072609217509 a2:0.9978886783994447 a3:0.9996240112218189 abs_rel:0.059012968093156815 rmse:2.697145938873291 log_10:0.024393592029809952 rmse_log:0.09042990952730179 sq_rel:0.2681296169757843 silog:8.89175640199861 weight_abs_rel:0.0033154382836073637
a1:0.9842220661784726 a2:0.9981943508978088 a3:0.9996274057408177 abs_rel:0.06543669104576111 rmse:2.0727334022521973 log_10:0.028809528797864914 rmse_log:0.08707533031702042 sq_rel:0.16064374148845673 silog:8.362638711723115 weight_abs_rel:0.004460604395717382
a1:0.9651589810338416 a2:0.9965833023428784 a3:0.9989540721457791 abs_rel:0.06869383901357651 rmse:3.4833927154541016 log_10:0.03028516098856926 rmse_log:0.09807973355054855 sq_rel:0.28636905550956726 silog:9.74503540172063 weight_abs_rel:0.005253700539469719
a1:0.9306353647717192 a2:0.9868832321026411 a3:0.9999727018358016 abs_rel:0.06211763247847557 rmse:5.023168563842773 log_10:0.028817923739552498 rmse_log:0.11074355989694595 sq_rel:0.453409343957901 silog:10.150774814215664 weight_abs_rel:0.0028806482441723347
a1:0.9627022056052223 a2:0.9830848321297734 a3:0.9979496766217907 abs_rel:0.060246460139751434 rmse:3.60211181640625 log_10:0.02700328268110752 rmse_log:0.1097104623913765 sq_rel:0.3224698603153229 silog:10.577214770841351 weight_abs_rel:0.0037407968193292618
a1:0.966724075882988 a2:0.9978664336023855 a3:0.9997557966171405 abs_rel:0.04745763912796974 rmse:2.7006874084472656 log_10:0.02027718350291252 rmse_log:0.08136536926031113 sq_rel:0.19575078785419464 silog:8.136232308073104 weight_abs_rel:0.002875775331631303
a1:0.9519125215630926 a2:0.9975478665012902 a3:0.9998146643285859 abs_rel:0.058703988790512085 rmse:3.444692373275757 log_10:0.026352031156420708 rmse_log:0.09331922978162766 sq_rel:0.259294331073761 silog:8.888982096887505 weight_abs_rel:0.0038733547553420067
a1:0.9700212484217657 a2:0.9938410371693407 a3:0.9995226803806239 abs_rel:0.053788065910339355 rmse:2.810164213180542 log_10:0.023423684760928154 rmse_log:0.0857628881931305 sq_rel:0.20009298622608185 silog:8.43798136860084 weight_abs_rel:0.003987413831055164
a1:0.9333703146049608 a2:0.9954988509390601 a3:0.9978762184008242 abs_rel:0.05904272943735123 rmse:3.032482147216797 log_10:0.02531316690146923 rmse_log:0.10260479897260666 sq_rel:0.2863748073577881 silog:10.231839650038637 weight_abs_rel:0.003385526593774557
a1:0.9010222907782113 a2:0.9887033844478722 a3:0.9974291504098237 abs_rel:0.0784989669919014 rmse:4.867903709411621 log_10:0.032984621822834015 rmse_log:0.13026633858680725 sq_rel:0.531753420829773 silog:12.79180902126886 weight_abs_rel:0.004801844712346792
a1:0.9470233619586582 a2:0.993549408365982 a3:0.9985225638793251 abs_rel:0.0760163888335228 rmse:4.284460544586182 log_10:0.03302254527807236 rmse_log:0.1137935072183609 sq_rel:0.39727866649627686 silog:11.158132927274172 weight_abs_rel:0.004587538540363312
a1:0.9076950167282972 a2:0.9944180313435464 a3:0.9989610846980103 abs_rel:0.08731570839881897 rmse:4.6318359375 log_10:0.03852448612451553 rmse_log:0.1267017126083374 sq_rel:0.5064520239830017 silog:12.669760878855104 weight_abs_rel:0.0052262875251472
a1:0.9151353386031551 a2:0.9962358416315915 a3:0.998819423057181 abs_rel:0.07490948587656021 rmse:3.9522974491119385 log_10:0.03306644409894943 rmse_log:0.11554083973169327 sq_rel:0.4066407084465027 silog:11.488558957037606 weight_abs_rel:0.00404487457126379
a1:0.9506763359563853 a2:0.9957139673232869 a3:0.9989884962882957 abs_rel:0.07161256670951843 rmse:2.944431781768799 log_10:0.030454318970441818 rmse_log:0.10403759032487869 sq_rel:0.2602139115333557 silog:10.142806925754673 weight_abs_rel:0.004697561264038086
a1:0.9504107933293043 a2:0.9829639187886905 a3:0.9918004671447005 abs_rel:0.06758136302232742 rmse:3.768756866455078 log_10:0.02725006639957428 rmse_log:0.12240708619356155 sq_rel:0.4688715636730194 silog:12.108823892678272 weight_abs_rel:0.004748591687530279
a1:0.948974174811854 a2:0.995784280048715 a3:0.9979389813571495 abs_rel:0.06958314031362534 rmse:2.8349738121032715 log_10:0.02901109680533409 rmse_log:0.10678581893444061 sq_rel:0.21541167795658112 silog:9.907807811344778 weight_abs_rel:0.007418996188789606
a1:0.9516903202868063 a2:0.997896358626411 a3:0.9999407424965187 abs_rel:0.07171567529439926 rmse:2.7167651653289795 log_10:0.0301201231777668 rmse_log:0.10124550014734268 sq_rel:0.20509368181228638 silog:9.694882490451795 weight_abs_rel:0.007086209021508694
a1:0.9677409812303096 a2:0.9885370290937597 a3:0.9957845848925438 abs_rel:0.06662220507860184 rmse:3.5069820880889893 log_10:0.02930164337158203 rmse_log:0.10778556764125824 sq_rel:0.29756593704223633 silog:10.59169650623608 weight_abs_rel:0.0045300559140741825
a1:0.9192368795880355 a2:0.9983154377122823 a3:0.9998630437164457 abs_rel:0.08356932550668716 rmse:2.55448055267334 log_10:0.033947013318538666 rmse_log:0.11734510958194733 sq_rel:0.2064698040485382 silog:10.48901819837078 weight_abs_rel:0.01004699245095253
a1:0.9330250946493786 a2:0.9985760712969478 a3:0.9998659831808892 abs_rel:0.06955740600824356 rmse:3.1302132606506348 log_10:0.028784463182091713 rmse_log:0.10532569140195847 sq_rel:0.2405139058828354 silog:10.033934660902357 weight_abs_rel:0.006641038227826357
